"Item_Title","Component_Title","Config_Title","Enrollment_Status","Program_Type","Program_Modality","Additional_COA_Components","COA_Component_Cost_Type","COA_Item_Applicability","Cost_Value","Aid_Year"
"Transportation Costs","BUDGET","GROUND_BACHELORS_2017-2018_FULL_TIME","FULL_TIME","BACHELORS","GROUND","","BUDGET","FIXED","150","2017-2018"
"Books","STANDARD","GROUND_BACHELORS_2017-2018_FULL_TIME","FULL_TIME","BACHELORS","GROUND","","STANDARD","PER_CREDIT","30","2017-2018"
"Resource Fee","STANDARD","GROUND_BACHELORS_2017-2018_FULL_TIME","FULL_TIME","BACHELORS","GROUND","","STANDARD","FIXED","100","2017-2018"
"Tuition","STANDARD","GROUND_BACHELORS_2017-2018_FULL_TIME","FULL_TIME","BACHELORS","GROUND","","STANDARD","PER_CREDIT","350","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_BACHELORS_2017-2018_HALF_TIME","HALF_TIME","BACHELORS","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_BACHELORS_2017-2018_HALF_TIME","HALF_TIME","BACHELORS","GROUND","","BUDGET","FIXED","3600","2017-2018"
"Transportation Costs","BUDGET","GROUND_BACHELORS_2017-2018_HALF_TIME","HALF_TIME","BACHELORS","GROUND","","BUDGET","FIXED","150","2017-2018"
"Books","STANDARD","GROUND_BACHELORS_2017-2018_HALF_TIME","HALF_TIME","BACHELORS","GROUND","","STANDARD","PER_CREDIT","30","2017-2018"
"Resource Fee","STANDARD","GROUND_BACHELORS_2017-2018_HALF_TIME","HALF_TIME","BACHELORS","GROUND","","STANDARD","FIXED","100","2017-2018"
"Tuition","STANDARD","GROUND_BACHELORS_2017-2018_HALF_TIME","HALF_TIME","BACHELORS","GROUND","","STANDARD","PER_CREDIT","400","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_BACHELORS_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","BACHELORS","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_BACHELORS_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","BACHELORS","GROUND","","BUDGET","FIXED","3600","2017-2018"
"Transportation Costs","BUDGET","GROUND_BACHELORS_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","BACHELORS","GROUND","","BUDGET","FIXED","150","2017-2018"
"Books","STANDARD","GROUND_BACHELORS_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","BACHELORS","GROUND","","STANDARD","PER_CREDIT","30","2017-2018"
"Resource Fee","STANDARD","GROUND_BACHELORS_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","BACHELORS","GROUND","","STANDARD","FIXED","100","2017-2018"
"Tuition","STANDARD","GROUND_BACHELORS_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","BACHELORS","GROUND","","STANDARD","PER_CREDIT","400","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_BACHELORS_2017-2018_NOT_ATTENDING","NOT_ATTENDING","BACHELORS","GROUND","","BUDGET","FIXED","0","2017-2018"
"Room and Board","BUDGET","GROUND_BACHELORS_2017-2018_NOT_ATTENDING","NOT_ATTENDING","BACHELORS","GROUND","","BUDGET","FIXED","0","2017-2018"
"Transportation Costs","BUDGET","GROUND_BACHELORS_2017-2018_NOT_ATTENDING","NOT_ATTENDING","BACHELORS","GROUND","","BUDGET","FIXED","0","2017-2018"
"Books","STANDARD","GROUND_BACHELORS_2017-2018_NOT_ATTENDING","NOT_ATTENDING","BACHELORS","GROUND","","STANDARD","PER_CREDIT","0","2017-2018"
"Resource Fee","STANDARD","GROUND_BACHELORS_2017-2018_NOT_ATTENDING","NOT_ATTENDING","BACHELORS","GROUND","","STANDARD","FIXED","0","2017-2018"
"Tuition","STANDARD","GROUND_BACHELORS_2017-2018_NOT_ATTENDING","NOT_ATTENDING","BACHELORS","GROUND","","STANDARD","PER_CREDIT","0","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_BACHELORS_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","BACHELORS","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_BACHELORS_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","BACHELORS","GROUND","","BUDGET","FIXED","3600","2017-2018"
"Transportation Costs","BUDGET","GROUND_BACHELORS_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","BACHELORS","GROUND","","BUDGET","FIXED","150","2017-2018"
"Books","STANDARD","GROUND_BACHELORS_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","BACHELORS","GROUND","","STANDARD","PER_CREDIT","30","2017-2018"
"Resource Fee","STANDARD","GROUND_BACHELORS_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","BACHELORS","GROUND","","STANDARD","FIXED","100","2017-2018"
"Tuition","STANDARD","GROUND_BACHELORS_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","BACHELORS","GROUND","","STANDARD","PER_CREDIT","400","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_CERTIFICATE_GRADUATE_2017-2018_FULL_TIME","FULL_TIME","CERTIFICATE_GRADUATE","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_CERTIFICATE_GRADUATE_2017-2018_FULL_TIME","FULL_TIME","CERTIFICATE_GRADUATE","GROUND","","BUDGET","FIXED","3600","2017-2018"
"Transportation Costs","BUDGET","GROUND_CERTIFICATE_GRADUATE_2017-2018_FULL_TIME","FULL_TIME","CERTIFICATE_GRADUATE","GROUND","","BUDGET","FIXED","150","2017-2018"
"Books","STANDARD","GROUND_CERTIFICATE_GRADUATE_2017-2018_FULL_TIME","FULL_TIME","CERTIFICATE_GRADUATE","GROUND","","STANDARD","PER_CREDIT","30","2017-2018"
"Resource Fee","STANDARD","GROUND_CERTIFICATE_GRADUATE_2017-2018_FULL_TIME","FULL_TIME","CERTIFICATE_GRADUATE","GROUND","","STANDARD","FIXED","140","2017-2018"
"Tuition","STANDARD","GROUND_CERTIFICATE_GRADUATE_2017-2018_FULL_TIME","FULL_TIME","CERTIFICATE_GRADUATE","GROUND","","STANDARD","PER_CREDIT","500","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_CERTIFICATE_GRADUATE_2017-2018_HALF_TIME","HALF_TIME","CERTIFICATE_GRADUATE","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_CERTIFICATE_GRADUATE_2017-2018_HALF_TIME","HALF_TIME","CERTIFICATE_GRADUATE","GROUND","","BUDGET","FIXED","3600","2017-2018"
"Transportation Costs","BUDGET","GROUND_CERTIFICATE_GRADUATE_2017-2018_HALF_TIME","HALF_TIME","CERTIFICATE_GRADUATE","GROUND","","BUDGET","FIXED","150","2017-2018"
"Books","STANDARD","GROUND_CERTIFICATE_GRADUATE_2017-2018_HALF_TIME","HALF_TIME","CERTIFICATE_GRADUATE","GROUND","","STANDARD","PER_CREDIT","30","2017-2018"
"Resource Fee","STANDARD","GROUND_CERTIFICATE_GRADUATE_2017-2018_HALF_TIME","HALF_TIME","CERTIFICATE_GRADUATE","GROUND","","STANDARD","FIXED","140","2017-2018"
"Tuition","STANDARD","GROUND_CERTIFICATE_GRADUATE_2017-2018_HALF_TIME","HALF_TIME","CERTIFICATE_GRADUATE","GROUND","","STANDARD","PER_CREDIT","500","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_CERTIFICATE_GRADUATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_GRADUATE","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_CERTIFICATE_GRADUATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_GRADUATE","GROUND","","BUDGET","FIXED","3600","2017-2018"
"Transportation Costs","BUDGET","GROUND_CERTIFICATE_GRADUATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_GRADUATE","GROUND","","BUDGET","FIXED","150","2017-2018"
"Books","STANDARD","GROUND_CERTIFICATE_GRADUATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_GRADUATE","GROUND","","STANDARD","PER_CREDIT","30","2017-2018"
"Resource Fee","STANDARD","GROUND_CERTIFICATE_GRADUATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_GRADUATE","GROUND","","STANDARD","FIXED","140","2017-2018"
"Tuition","STANDARD","GROUND_CERTIFICATE_GRADUATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_GRADUATE","GROUND","","STANDARD","PER_CREDIT","500","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_CERTIFICATE_GRADUATE_2017-2018_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_GRADUATE","GROUND","","BUDGET","FIXED","0","2017-2018"
"Room and Board","BUDGET","GROUND_CERTIFICATE_GRADUATE_2017-2018_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_GRADUATE","GROUND","","BUDGET","FIXED","0","2017-2018"
"Transportation Costs","BUDGET","GROUND_CERTIFICATE_GRADUATE_2017-2018_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_GRADUATE","GROUND","","BUDGET","FIXED","0","2017-2018"
"Books","STANDARD","GROUND_CERTIFICATE_GRADUATE_2017-2018_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_GRADUATE","GROUND","","STANDARD","PER_CREDIT","0","2017-2018"
"Resource Fee","STANDARD","GROUND_CERTIFICATE_GRADUATE_2017-2018_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_GRADUATE","GROUND","","STANDARD","FIXED","0","2017-2018"
"Tuition","STANDARD","GROUND_CERTIFICATE_GRADUATE_2017-2018_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_GRADUATE","GROUND","","STANDARD","PER_CREDIT","0","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_CERTIFICATE_GRADUATE_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_GRADUATE","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_CERTIFICATE_GRADUATE_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_GRADUATE","GROUND","","BUDGET","FIXED","3600","2017-2018"
"Transportation Costs","BUDGET","GROUND_CERTIFICATE_GRADUATE_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_GRADUATE","GROUND","","BUDGET","FIXED","150","2017-2018"
"Books","STANDARD","GROUND_CERTIFICATE_GRADUATE_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_GRADUATE","GROUND","","STANDARD","PER_CREDIT","30","2017-2018"
"Resource Fee","STANDARD","GROUND_CERTIFICATE_GRADUATE_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_GRADUATE","GROUND","","STANDARD","FIXED","140","2017-2018"
"Tuition","STANDARD","GROUND_CERTIFICATE_GRADUATE_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_GRADUATE","GROUND","","STANDARD","PER_CREDIT","500","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_FULL_TIME","FULL_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_FULL_TIME","FULL_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","BUDGET","FIXED","3600","2017-2018"
"Transportation Costs","BUDGET","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_FULL_TIME","FULL_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","BUDGET","FIXED","150","2017-2018"
"Books","STANDARD","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_FULL_TIME","FULL_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","STANDARD","PER_CREDIT","30","2017-2018"
"Resource Fee","STANDARD","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_FULL_TIME","FULL_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","STANDARD","FIXED","140","2017-2018"
"Tuition","STANDARD","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_FULL_TIME","FULL_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","STANDARD","PER_CREDIT","500","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_HALF_TIME","HALF_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_HALF_TIME","HALF_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","BUDGET","FIXED","3600","2017-2018"
"Transportation Costs","BUDGET","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_HALF_TIME","HALF_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","BUDGET","FIXED","150","2017-2018"
"Books","STANDARD","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_HALF_TIME","HALF_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","STANDARD","PER_CREDIT","30","2017-2018"
"Resource Fee","STANDARD","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_HALF_TIME","HALF_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","STANDARD","FIXED","140","2017-2018"
"Tuition","STANDARD","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_HALF_TIME","HALF_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","STANDARD","PER_CREDIT","500","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","BUDGET","FIXED","3600","2017-2018"
"Transportation Costs","BUDGET","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","BUDGET","FIXED","150","2017-2018"
"Books","STANDARD","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","STANDARD","PER_CREDIT","30","2017-2018"
"Resource Fee","STANDARD","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","STANDARD","FIXED","140","2017-2018"
"Tuition","STANDARD","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","STANDARD","PER_CREDIT","500","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_POST_BACCALAUREATE","GROUND","","BUDGET","FIXED","0","2017-2018"
"Room and Board","BUDGET","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_POST_BACCALAUREATE","GROUND","","BUDGET","FIXED","0","2017-2018"
"Transportation Costs","BUDGET","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_POST_BACCALAUREATE","GROUND","","BUDGET","FIXED","0","2017-2018"
"Books","STANDARD","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_POST_BACCALAUREATE","GROUND","","STANDARD","PER_CREDIT","0","2017-2018"
"Resource Fee","STANDARD","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_POST_BACCALAUREATE","GROUND","","STANDARD","FIXED","0","2017-2018"
"Tuition","STANDARD","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_POST_BACCALAUREATE","GROUND","","STANDARD","PER_CREDIT","0","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","BUDGET","FIXED","3600","2017-2018"
"Transportation Costs","BUDGET","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","BUDGET","FIXED","150","2017-2018"
"Books","STANDARD","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","STANDARD","PER_CREDIT","30","2017-2018"
"Resource Fee","STANDARD","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","STANDARD","FIXED","140","2017-2018"
"Tuition","STANDARD","GROUND_CERTIFICATE_POST_BACCALAUREATE_2017-2018_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_POST_BACCALAUREATE","GROUND","","STANDARD","PER_CREDIT","500","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2017-2018_FULL_TIME","FULL_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2017-2018_FULL_TIME","FULL_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","3600","2017-2018"
"Transportation Costs","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2017-2018_FULL_TIME","FULL_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","150","2017-2018"
"Books","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2017-2018_FULL_TIME","FULL_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","PER_CREDIT","30","2017-2018"
"Resource Fee","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2017-2018_FULL_TIME","FULL_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","FIXED","140","2017-2018"
"Tuition","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2017-2018_FULL_TIME","FULL_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","PER_CREDIT","500","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2017-2018_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2017-2018_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","3600","2017-2018"
"Transportation Costs","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2017-2018_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","150","2017-2018"
"Books","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2017-2018_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","PER_CREDIT","30","2017-2018"
"Resource Fee","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2017-2018_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","FIXED","140","2017-2018"
"Tuition","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2017-2018_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","PER_CREDIT","500","2017-2018"
"Personal Miscellaneous","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","650","2017-2018"
"Room and Board","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2017-2018_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","3600","2017-2018"
