"Code_Number","Aid_Year","ISIR_Field_Name"
"246","2014-2015","NSLDSMATCHFLAG"
"254","2014-2015","NSLDSSUBSIDIZEDUSAGELIMITAPPLIESFLAG"
"255","2014-2015","NSLDSUNDERGRADUATECOMBINEDLOANLIMITFLAG"
"255","2014-2015","NSLDSUNDERGRADUATESUBSIDIZEDLOANLIMITFLAG"
"256","2014-2015","NSLDSGRADUATECOMBINEDLOANLIMITFLAG"
"256","2014-2015","NSLDSGRADUATESUBSIDIZEDLOANLIMITFLAG"
"260","2014-2015","NSLDSSUBSIDIZEDUSAGELIMITAPPLIESFLAG"
"261","2014-2015","NSLDSDATABASERESULTSFLAG"
"261","2014-2015","NSLDSMATCHFLAG"
"261","2014-2015","NSLDSNATSMARTGRANTOVERPAYFLAG"
"262","2014-2015","NSLDSDATABASERESULTSFLAG"
"262","2014-2015","NSLDSMATCHFLAG"
"262","2014-2015","NSLDSNATSMARTGRANTOVERPAYFLAG"
"263","2014-2015","NSLDSDATABASERESULTSFLAG"
"263","2014-2015","NSLDSMATCHFLAG"
"263","2014-2015","NSLDSNATSMARTGRANTOVERPAYFLAG"
"264","2014-2015","NSLDSDATABASERESULTSFLAG"
"264","2014-2015","NSLDSMATCHFLAG"
"264","2014-2015","NSLDSNATSMARTGRANTOVERPAYFLAG"
"265","2014-2015","NSLDSDATABASERESULTSFLAG"
"265","2014-2015","NSLDSMATCHFLAG"
"265","2014-2015","NSLDSNATSMARTGRANTOVERPAYFLAG"
"266","2014-2015","NSLDSDATABASERESULTSFLAG"
"266","2014-2015","NSLDSMATCHFLAG"
"266","2014-2015","NSLDSNATSMARTGRANTOVERPAYFLAG"
"289","2014-2015","NSLDSDATABASERESULTSFLAG"
"289","2014-2015","NSLDSMATCHFLAG"
"289","2014-2015","NSLDSTEACHGRANTOVERPAYFLAG"
"290","2014-2015","NSLDSDATABASERESULTSFLAG"
"290","2014-2015","NSLDSMATCHFLAG"
"290","2014-2015","NSLDSTEACHGRANTOVERPAYFLAG"
"291","2014-2015","NSLDSDATABASERESULTSFLAG"
"291","2014-2015","NSLDSMATCHFLAG"
"291","2014-2015","NSLDSTEACHGRANTOVERPAYFLAG"
"292","2014-2015","NSLDSDATABASERESULTSFLAG"
"292","2014-2015","NSLDSMATCHFLAG"
"292","2014-2015","NSLDSTEACHGRANTOVERPAYFLAG"
"293","2014-2015","NSLDSDATABASERESULTSFLAG"
"293","2014-2015","NSLDSMATCHFLAG"
"293","2014-2015","NSLDSTEACHGRANTOVERPAYFLAG"
"294","2014-2015","NSLDSDATABASERESULTSFLAG"
"294","2014-2015","NSLDSMATCHFLAG"
"294","2014-2015","NSLDSTEACHGRANTOVERPAYFLAG"
"309","2014-2015","NSLDSDATABASERESULTSFLAG"
"309","2014-2015","NSLDSIRAQAFGHANISTANOVERPAYFLAG"
"309","2014-2015","NSLDSMATCHFLAG"
"310","2014-2015","NSLDSDATABASERESULTSFLAG"
"310","2014-2015","NSLDSIRAQAFGHANISTANOVERPAYFLAG"
"310","2014-2015","NSLDSMATCHFLAG"
"311","2014-2015","NSLDSDATABASERESULTSFLAG"
"311","2014-2015","NSLDSIRAQAFGHANISTANOVERPAYFLAG"
"311","2014-2015","NSLDSMATCHFLAG"
"312","2014-2015","NSLDSDATABASERESULTSFLAG"
"312","2014-2015","NSLDSIRAQAFGHANISTANOVERPAYFLAG"
"312","2014-2015","NSLDSMATCHFLAG"
"313","2014-2015","NSLDSDATABASERESULTSFLAG"
"313","2014-2015","NSLDSIRAQAFGHANISTANOVERPAYFLAG"
"313","2014-2015","NSLDSMATCHFLAG"
"314","2014-2015","NSLDSDATABASERESULTSFLAG"
"314","2014-2015","NSLDSIRAQAFGHANISTANOVERPAYFLAG"
"314","2014-2015","NSLDSMATCHFLAG"
"346","2014-2015","NSLDSPELLLIFETIMELIMITFLAG"
"347","2014-2015","NSLDSPELLLIFETIMELIMITFLAG"
"359","2014-2015","NSLDSUNUSUALENROLLMENTHISTORYFLAG"
"360","2014-2015","NSLDSUNUSUALENROLLMENTHISTORYFLAG"
"010","2015-2016","NSLDSDATABASERESULTSFLAG"
"010","2015-2016","NSLDSMATCHFLAG"
"010","2015-2016","NSLDSSEOGOVERPAYFLAG"
"011","2015-2016","PARENT1SSNMATCHFLAG"
"011","2015-2016","PARENT2SSNMATCHFLAG"
"011","2015-2016","PARENTSMARITALSTATUS"
"012","2015-2016","PARENT1SSNMATCHFLAG"
"012","2015-2016","PARENT2SSNMATCHFLAG"
"012","2015-2016","PARENTSMARITALSTATUS"
"016","2015-2016","PARENT1LASTNAME"
"016","2015-2016","PARENT1SOCIALSECURITYNUMBER"
"016","2015-2016","PARENT1SSNMATCHFLAG"
"016","2015-2016","PARENT2DATEOFBIRTH"
"016","2015-2016","PARENT2LASTNAME"
"016","2015-2016","PARENT2SOCIALSECURITYNUMBER"
"016","2015-2016","PARENT2SSNMATCHFLAG"
"016","2015-2016","PARENTSMARITALSTATUS"
"017","2015-2016","PARENT1DATEOFBIRTH"
"017","2015-2016","PARENT1LASTNAME"
"017","2015-2016","PARENT1SOCIALSECURITYNUMBER"
"017","2015-2016","PARENT1SSNMATCHFLAG"
"017","2015-2016","PARENT2LASTNAME"
"017","2015-2016","PARENT2SOCIALSECURITYNUMBER"
"017","2015-2016","PARENT2SSNMATCHFLAG"
"017","2015-2016","PARENTSMARITALSTATUS"
"018","2015-2016","DATEOFBIRTH"
"020","2015-2016","NSLDSDATABASERESULTSFLAG"
"020","2015-2016","NSLDSMATCHFLAG"
"020","2015-2016","NSLDSPELLOVERPAYFLAG"
"024","2015-2016","SSNMATCHFLAG"
"024","2015-2016","STUDENTSSN"
"030","2015-2016","SELECTIVESERVICEMATCHFLAG"
"033","2015-2016","SELECTIVESERVICEMATCHFLAG"
"033","2015-2016","SELECTIVESERVICEREGISTRATIONFLAG"
"038","2015-2016","NSLDSDATABASERESULTSFLAG"
"038","2015-2016","NSLDSMATCHFLAG"
"038","2015-2016","NSLDSPELLOVERPAYFLAG"
"039","2015-2016","NSLDSDATABASERESULTSFLAG"
"039","2015-2016","NSLDSMATCHFLAG"
"039","2015-2016","NSLDSPELLOVERPAYFLAG"
"040","2015-2016","PARENT1LASTNAME"
"040","2015-2016","PARENT1SOCIALSECURITYNUMBER"
"040","2015-2016","PARENT1SSNMATCHFLAG"
"040","2015-2016","PARENT2DATEOFBIRTH"
"040","2015-2016","PARENT2SOCIALSECURITYNUMBER"
"040","2015-2016","PARENT2SSNMATCHFLAG"
"040","2015-2016","PARENTSMARITALSTATUS"
"041","2015-2016","NSLDSDATABASERESULTSFLAG"
"041","2015-2016","NSLDSMATCHFLAG"
"041","2015-2016","NSLDSPELLOVERPAYFLAG"
"042","2015-2016","NSLDSDATABASERESULTSFLAG"
"042","2015-2016","NSLDSMATCHFLAG"
"042","2015-2016","NSLDSPELLOVERPAYFLAG"
"043","2015-2016","NSLDSDATABASERESULTSFLAG"
"043","2015-2016","NSLDSMATCHFLAG"
"043","2015-2016","NSLDSPELLOVERPAYFLAG"
"046","2015-2016","ALIENREGISTRATIONNUMBER"
"046","2015-2016","CITIZENSHIPSTATUS"
"046","2015-2016","SECONDARYDHSMATCHFLAG"
"049","2015-2016","PARENT1DATEOFBIRTH"
"049","2015-2016","PARENT1LASTNAME"
"049","2015-2016","PARENT1SOCIALSECURITYNUMBER"
"049","2015-2016","PARENT2DATEOFBIRTH"
"049","2015-2016","PARENT2LASTNAME"
"049","2015-2016","PARENT2SOCIALSECURITYNUMBER"
"049","2015-2016","PARENTSMARITALSTATUS"
"051","2015-2016","PARENT1SSNMATCHFLAG"
"051","2015-2016","PARENT2FIRSTNAMEINITIAL"
"051","2015-2016","PARENT2LASTNAME"
"051","2015-2016","PARENT2SSNMATCHFLAG"
"051","2015-2016","PARENTSMARITALSTATUS"
"053","2015-2016","DRUGCONVICTIONAFFECTINGELIGIBILITY"
"054","2015-2016","DRUGCONVICTIONAFFECTINGELIGIBILITY"
"056","2015-2016","DRUGCONVICTIONAFFECTINGELIGIBILITY"
"057","2015-2016","SELECTIVESERVICEREGISTRATIONFLAG"
"058","2015-2016","DRUGCONVICTIONAFFECTINGELIGIBILITY"
"059","2015-2016","SSNMATCHFLAG"
"060","2015-2016","SSNMATCHFLAG"
"061","2015-2016","SSNMATCHFLAG"
"062","2015-2016","DATEAPPLICATIONCOMPLETED"
"062","2015-2016","STUDENTMARITALSTATUS"
"063","2015-2016","DATEOFBIRTH"
"063","2015-2016","SSNMATCHFLAG"
"064","2015-2016","SSNMATCHFLAG"
"064","2015-2016","STUDENTFIRSTNAME"
"064","2015-2016","STUDENTLASTNAME"
"065","2015-2016","NSLDSDATABASERESULTSFLAG"
"065","2015-2016","NSLDSFRAUDLOANFLAG"
"065","2015-2016","NSLDSMATCHFLAG"
"065","2015-2016","NSLDSSEOGOVERPAYFLAG"
"066","2015-2016","NSLDSDATABASERESULTSFLAG"
"066","2015-2016","NSLDSFRAUDLOANFLAG"
"066","2015-2016","NSLDSMATCHFLAG"
"066","2015-2016","NSLDSSEOGOVERPAYFLAG"
"067","2015-2016","NSLDSDATABASERESULTSFLAG"
"067","2015-2016","NSLDSFRAUDLOANFLAG"
"067","2015-2016","NSLDSMATCHFLAG"
"067","2015-2016","NSLDSSEOGOVERPAYFLAG"
"068","2015-2016","ALIENREGISTRATIONNUMBER"
"068","2015-2016","CITIZENSHIPSTATUS"
"069","2015-2016","DATEOFBIRTH"
"072","2015-2016","DATEOFBIRTH"
"076","2015-2016","SSNMATCHFLAG"
"077","2015-2016","NSLDSDATABASERESULTSFLAG"
"077","2015-2016","NSLDSMATCHFLAG"
"077","2015-2016","NSLDSSEOGOVERPAYFLAG"
"079","2015-2016","NSLDSDATABASERESULTSFLAG"
"079","2015-2016","NSLDSMATCHFLAG"
"079","2015-2016","NSLDSSEOGOVERPAYFLAG"
"080","2015-2016","STUDENTFIRSTNAME"
"080","2015-2016","STUDENTLASTNAME"
"082","2015-2016","STUDENTFIRSTNAME"
"082","2015-2016","STUDENTLASTNAME"
"083","2015-2016","PARENT1SOCIALSECURITYNUMBER"
"083","2015-2016","PARENTSMARITALSTATUS"
"084","2015-2016","PARENT2SOCIALSECURITYNUMBER"
"084","2015-2016","PARENTSMARITALSTATUS"
"086","2015-2016","NSLDSDATABASERESULTSFLAG"
"086","2015-2016","NSLDSMATCHFLAG"
"086","2015-2016","NSLDSPERKINSOVERPAYFLAG"
"089","2015-2016","PARENT1INCOMEEARNEDFROMWORK"
"089","2015-2016","PARENT2INCOMEEARNEDFROMWORK"
"089","2015-2016","PARENTSMARITALSTATUS"
"090","2015-2016","NSLDSDATABASERESULTSFLAG"
"090","2015-2016","NSLDSMATCHFLAG"
"090","2015-2016","NSLDSPERKINSOVERPAYFLAG"
"099","2015-2016","PARENTSMARITALSTATUS"
"099","2015-2016","SPOUSESINCOMEEARNEDFROMWORK"
"099","2015-2016","STUDENTSINCOMEEARNEDFROMWORK"
"100","2015-2016","NSLDSDATABASERESULTSFLAG"
"100","2015-2016","NSLDSMATCHFLAG"
"100","2015-2016","NSLDSPERKINSOVERPAYFLAG"
"101","2015-2016","NSLDSDATABASERESULTSFLAG"
"101","2015-2016","NSLDSMATCHFLAG"
"101","2015-2016","NSLDSPERKINSOVERPAYFLAG"
"102","2015-2016","NSLDSDATABASERESULTSFLAG"
"102","2015-2016","NSLDSMATCHFLAG"
"102","2015-2016","NSLDSPERKINSOVERPAYFLAG"
"105","2015-2016","ALIENREGISTRATIONNUMBER"
"105","2015-2016","CITIZENSHIPSTATUS"
"105","2015-2016","SECONDARYDHSMATCHFLAG"
"107","2015-2016","NSLDSDATABASERESULTSFLAG"
"107","2015-2016","NSLDSMATCHFLAG"
"107","2015-2016","NSLDSPERKINSOVERPAYFLAG"
"109","2015-2016","ALIENREGISTRATIONNUMBER"
"109","2015-2016","CITIZENSHIPSTATUS"
"109","2015-2016","SECONDARYDHSMATCHFLAG"
"110","2015-2016","PREPARERSSIGNATURE"
"111","2015-2016","PARENTSADJUSTEDGROSSINCOMEFROMIRSFORM"
"111","2015-2016","PARENTSUSINCOMETAXPAID"
"114","2015-2016","STUDENTSADJUSTEDGROSSINCOMEFROMIRSFORM"
"114","2015-2016","STUDENTSUSINCOMETAXPAID"
"115","2015-2016","NSLDSDATABASERESULTSFLAG"
"115","2015-2016","NSLDSDISCHARGEDLOANFLAG"
"116","2015-2016","NSLDSACTIVEBANKRUPTCYFLAG"
"116","2015-2016","NSLDSDATABASERESULTSFLAG"
"119","2015-2016","DATEAPPLICATIONCOMPLETED"
"119","2015-2016","STUDENTMARITALSTATUS"
"119","2015-2016","TRANSACTIONRECEIPTDATE"
"124","2015-2016","NSLDSDEFAULTEDLOANFLAG"
"124","2015-2016","NSLDSFRAUDLOANFLAG"
"126","2015-2016","PARENT1INCOMEEARNEDFROMWORK"
"126","2015-2016","PARENT2INCOMEEARNEDFROMWORK"
"126","2015-2016","PARENTSTAXRETURNFILINGSTATUS"
"126","2015-2016","STUDENTSINCOMEEARNEDFROMWORK"
"126","2015-2016","STUDENTSTAXRETURNFILINGSTATUS"
"129","2015-2016","PARENT1INCOMEEARNEDFROMWORK"
"129","2015-2016","PARENT2INCOMEEARNEDFROMWORK"
"129","2015-2016","PARENTSOTHERUNTAXEDINCOME"
"130","2015-2016","SPOUSESINCOMEEARNEDFROMWORK"
"130","2015-2016","STUDENTSINCOMEEARNEDFROMWORK"
"130","2015-2016","STUDENTSOTHERUNTAXEDINCOME"
"131","2015-2016","SPOUSESINCOMEEARNEDFROMWORK"
"131","2015-2016","STUDENTSINCOMEEARNEDFROMWORK"
"131","2015-2016","STUDENTSTAXRETURNCOMPLETED"
"132","2015-2016","NSLDSDATABASERESULTSFLAG"
"132","2015-2016","NSLDSDEFAULTEDLOANFLAG"
"132","2015-2016","NSLDSMATCHFLAG"
"133","2015-2016","NSLDSDATABASERESULTSFLAG"
"133","2015-2016","NSLDSFRAUDLOANCHANGEFLAG"
"133","2015-2016","NSLDSMATCHFLAG"
"133","2015-2016","NSLDSOVERPAYSCHANGEFLAG"
"134","2015-2016","NSLDSDEFAULTEDLOANFLAG"
"134","2015-2016","NSLDSDEFAULTEDLOANFLAG"
"134","2015-2016","NSLDSOVERPAYSCHANGEFLAG"
"135","2015-2016","NSLDSLOAN1CONTACTCODE"
"135","2015-2016","NSLDSLOAN2CONTACTCODE"
"135","2015-2016","NSLDSLOAN3CONTACTCODE"
"135","2015-2016","NSLDSLOAN4CONTACTCODE"
"135","2015-2016","NSLDSLOAN5CONTACTCODE"
"135","2015-2016","NSLDSLOAN6CONTACTCODE"
"136","2015-2016","FAAFEDERALSCHOOLCODE"
"137","2015-2016","NSLDSLOAN1CONTACTCODE"
"137","2015-2016","NSLDSLOAN2CONTACTCODE"
"137","2015-2016","NSLDSLOAN3CONTACTCODE"
"137","2015-2016","NSLDSLOAN4CONTACTCODE"
"137","2015-2016","NSLDSLOAN5CONTACTCODE"
"137","2015-2016","NSLDSLOAN6CONTACTCODE"
"138","2015-2016","NSLDSDATABASERESULTSFLAG"
"138","2015-2016","NSLDSMATCHFLAG"
"140","2015-2016","SSNMATCHFLAG"
"141","2015-2016","ALIENREGISTRATIONNUMBER"
"141","2015-2016","CITIZENSHIPSTATUS"
"141","2015-2016","DHSMATCHFLAG"
"142","2015-2016","ALIENREGISTRATIONNUMBER"
"142","2015-2016","CITIZENSHIPSTATUS"
"142","2015-2016","DHSMATCHFLAG"
"144","2015-2016","ALIENREGISTRATIONNUMBER"
"144","2015-2016","CITIZENSHIPSTATUS"
"144","2015-2016","DHSMATCHFLAG"
"145","2015-2016","SSNMATCHFLAG"
"146","2015-2016","SSACITIZENSHIPFLAG"
"150","2015-2016","PARENTSBUSINESSANDORINVESTMENTFARMNETWORTH"
"150","2015-2016","PARENTSCASHSAVINGSANDCHECKING"
"150","2015-2016","PARENTSINVESTMENTNETWORTH"
"151","2015-2016","PARENTSBUSINESSANDORINVESTMENTFARMNETWORTH"
"151","2015-2016","PARENTSCASHSAVINGSANDCHECKING"
"151","2015-2016","PARENTSINVESTMENTNETWORTH"
"152","2015-2016","STUDENTSADJUSTEDGROSSINCOMEFROMIRSFORM"
"152","2015-2016","STUDENTSUSINCOMETAXPAID"
"153","2015-2016","STUDENTSADJUSTEDGROSSINCOMEFROMIRSFORM"
"153","2015-2016","STUDENTSUSINCOMETAXPAID"
"154","2015-2016","STUDENTSADJUSTEDGROSSINCOMEFROMIRSFORM"
"154","2015-2016","STUDENTSUSINCOMETAXPAID"
"155","2015-2016","STUDENTSADJUSTEDGROSSINCOMEFROMIRSFORM"
"155","2015-2016","STUDENTSUSINCOMETAXPAID"
"162","2015-2016","AREYOUONACTIVEDUTYINUSARMEDFORCES"
"162","2015-2016","VAMATCHFLAG"
"162","2015-2016","VETERANOFUSARMEDFORCES"
"164","2015-2016","ASSUMEDPARENT1SSN"
"164","2015-2016","ASSUMEDPARENT2SSN"
"168","2015-2016","PARENTSMARITALSTATUS"
"168","2015-2016","PARENTSNUMBEROFFAMILYMEMBERS"
"169","2015-2016","STUDENTMARITALSTATUS"
"169","2015-2016","STUDENTSNUMBEROFFAMILYMEMBERS"
"173","2015-2016","AREYOUONACTIVEDUTYINUSARMEDFORCES"
"173","2015-2016","VAMATCHFLAG"
"173","2015-2016","VETERANOFUSARMEDFORCES"
"178","2015-2016","PARENTSNUMBEROFFAMILYMEMBERS"
"179","2015-2016","STUDENTSNUMBEROFFAMILYMEMBERS"
"180","2015-2016","AREYOUONACTIVEDUTYINUSARMEDFORCES"
"180","2015-2016","VAMATCHFLAG"
"180","2015-2016","VETERANOFUSARMEDFORCES"
"181","2015-2016","NSLDSLOAN1CONTACTCODE"
"182","2015-2016","NSLDSLOAN1CONTACTCODE"
"183","2015-2016","NSLDSLOAN1CONTACTCODE"
"184","2015-2016","NSLDSLOAN1CONTACTCODE"
"185","2015-2016","NSLDSLOAN1CONTACTCODE"
"186","2015-2016","NSLDSLOAN1CONTACTCODE"
"187","2015-2016","NSLDSLOAN1CONTACTCODE"
"188","2015-2016","NSLDSLOAN1CONTACTCODE"
"189","2015-2016","NSLDSLOAN1CONTACTCODE"
"190","2015-2016","NSLDSLOAN1CONTACTCODE"
"191","2015-2016","NSLDSLOAN1CONTACTCODE"
"192","2015-2016","NSLDSLOAN1CONTACTCODE"
"193","2015-2016","NSLDSLOAN1CONTACTCODE"
"194","2015-2016","NSLDSLOAN1CONTACTCODE"
"195","2015-2016","NSLDSLOAN1CONTACTCODE"
"196","2015-2016","NSLDSLOAN1CONTACTCODE"
"197","2015-2016","NSLDSLOAN1CONTACTCODE"
"198","2015-2016","NSLDSLOAN1CONTACTCODE"
"200","2015-2016","NSLDSLOAN1CONTACTCODE"
"201","2015-2016","NSLDSLOAN1CONTACTCODE"
"202","2015-2016","NSLDSLOAN1CONTACTCODE"
"203","2015-2016","NSLDSLOAN1CONTACTCODE"
"204","2015-2016","NSLDSLOAN1CONTACTCODE"
"205","2015-2016","NSLDSLOAN1CONTACTCODE"
"206","2015-2016","NSLDSLOAN1CONTACTCODE"
"207","2015-2016","NSLDSLOAN1CONTACTCODE"
"208","2015-2016","NSLDSLOAN1CONTACTCODE"
"209","2015-2016","NSLDSLOAN1CONTACTCODE"
"210","2015-2016","NSLDSLOAN1CONTACTCODE"
"211","2015-2016","NSLDSLOAN1CONTACTCODE"
"212","2015-2016","NSLDSLOAN1CONTACTCODE"
"213","2015-2016","NSLDSLOAN1CONTACTCODE"
"214","2015-2016","NSLDSLOAN1CONTACTCODE"
"215","2015-2016","NSLDSLOAN1CONTACTCODE"
"216","2015-2016","NSLDSLOAN1CONTACTCODE"
"217","2015-2016","NSLDSLOAN1CONTACTCODE"
"218","2015-2016","NSLDSLOAN1CONTACTCODE"
"219","2015-2016","NSLDSLOAN1CONTACTCODE"
"220","2015-2016","NSLDSLOAN1CONTACTCODE"
"221","2015-2016","NSLDSLOAN1CONTACTCODE"
"222","2015-2016","NSLDSLOAN1CONTACTCODE"
"223","2015-2016","NSLDSLOAN1CONTACTCODE"
"224","2015-2016","NSLDSLOAN1CONTACTCODE"
"225","2015-2016","NSLDSLOAN1CONTACTCODE"
"226","2015-2016","NSLDSLOAN1CONTACTCODE"
"227","2015-2016","NSLDSLOAN1CONTACTCODE"
"228","2015-2016","NSLDSLOAN1CONTACTCODE"
"229","2015-2016","NSLDSLOAN1CONTACTCODE"
"230","2015-2016","NSLDSLOAN1CONTACTCODE"
"231","2015-2016","NSLDSLOAN1CONTACTCODE"
"232","2015-2016","NSLDSLOAN1CONTACTCODE"
"233","2015-2016","NSLDSLOAN1CONTACTCODE"
"234","2015-2016","NSLDSLOAN1CONTACTCODE"
"235","2015-2016","NSLDSLOAN1CONTACTCODE"
"236","2015-2016","NSLDSLOAN1CONTACTCODE"
"237","2015-2016","NSLDSLOAN1CONTACTCODE"
"238","2015-2016","NSLDSLOAN1CONTACTCODE"
"239","2015-2016","NSLDSLOAN1CONTACTCODE"
"254","2015-2016","NSLDSSUBSIDIZEDUSAGELIMITAPPLIESFLAG"
"255","2015-2016","NSLDSUNDERGRADUATECOMBINEDLOANLIMITFLAG"
