"Code_Number","C_Code_Number_for_Rejects","Aid_Year"
"9","300","2018-2019"
"9","387","2018-2019"
"10","168","2018-2019"
"10","169","2018-2019"
"10","295","2018-2019"
"10","299","2018-2019"
"10","300","2018-2019"
"11","089","2018-2019"
"11","099","2018-2019"
"12","111","2018-2019"
"13","059","2018-2019"
"13","082","2018-2019"
"14","059","2018-2019"
"14","160","2018-2019"
"15","108","2018-2019"
"15","295","2018-2019"
"15","299","2018-2019"
"15","300","2018-2019"
"16","059","2018-2019"
"16","110","2018-2019"
"16","285","2018-2019"
"17","068","2018-2019"
"18","024","2018-2019"
"19","009","2018-2019"
"20","126","2018-2019"
"20","131","2018-2019"
"21","119","2018-2019"
"23","281","2018-2019"
"24","272","2018-2019"
"A","069","2018-2019"
"B","072","2018-2019"
"C","154","2018-2019"
"C","155","2018-2019"
"D","061","2018-2019"
"E","040","2018-2019"
"E","377","2018-2019"
"F","051","2018-2019"
"F","379","2018-2019"
"G","153","2018-2019"
"J","083","2018-2019"
"J","164","2018-2019"
"J","388","2018-2019"
"J","391","2018-2019"
"K","084","2018-2019"
"K","164","2018-2019"
"K","389","2018-2019"
"K","391","2018-2019"
"N","059","2018-2019"
"N","080","2018-2019"
"R","060","2018-2019"
"S","016","2018-2019"
"S","373","2018-2019"
"T","017","2018-2019"
"T","375","2018-2019"
"W","178","2018-2019"
"W","179","2018-2019"
"1","150","2019-2020"
"1","151","2019-2020"
"1","295","2019-2020"
"1","299","2019-2020"
"1","300","2019-2020"
"2","129","2019-2020"
"2","130","2019-2020"
"2","295","2019-2020"
"2","299","2019-2020"
"2","300","2019-2020"
"3","114","2019-2020"
"3","152","2019-2020"
"4","062","2019-2020"
"5","018","2019-2020"
"5","059","2019-2020"
"6","011","2019-2020"
"6","369","2019-2020"
"7","012","2019-2020"
"7","370","2019-2020"
"8","076","2019-2020"
"8","140","2019-2020"
"8","145","2019-2020"
"9","049","2019-2020"
"9","295","2019-2020"
"9","299","2019-2020"
"9","300","2019-2020"
"9","387","2019-2020"
"10","168","2019-2020"
"10","169","2019-2020"
"10","295","2019-2020"
"10","299","2019-2020"
"10","300","2019-2020"
"11","089","2019-2020"
"11","099","2019-2020"
"12","111","2019-2020"
"13","059","2019-2020"
"13","082","2019-2020"
"14","059","2019-2020"
"14","160","2019-2020"
"15","108","2019-2020"
"15","295","2019-2020"
"15","299","2019-2020"
"15","300","2019-2020"
"16","059","2019-2020"
"16","110","2019-2020"
"16","285","2019-2020"
"17","068","2019-2020"
"18","024","2019-2020"
"19","009","2019-2020"
"20","126","2019-2020"
"20","131","2019-2020"
"21","119","2019-2020"
"23","281","2019-2020"
"24","272","2019-2020"
"A","069","2019-2020"
"B","072","2019-2020"
"C","154","2019-2020"
"C","155","2019-2020"
"D","061","2019-2020"
"E","040","2019-2020"
"E","377","2019-2020"
"F","051","2019-2020"
"F","379","2019-2020"
"G","153","2019-2020"
"J","083","2019-2020"
"J","164","2019-2020"
"J","388","2019-2020"
"J","391","2019-2020"
"K","084","2019-2020"
"K","164","2019-2020"
"K","389","2019-2020"
"K","391","2019-2020"
"N","059","2019-2020"
"N","080","2019-2020"
"R","060","2019-2020"
"S","016","2019-2020"
"S","373","2019-2020"
"T","017","2019-2020"
"T","375","2019-2020"
"W","178","2019-2020"
"W","179","2019-2020"
"1","150","2020-2021"
"1","151","2020-2021"
"1","295","2020-2021"
"1","299","2020-2021"
"1","300","2020-2021"
"2","129","2020-2021"
"2","130","2020-2021"
"2","295","2020-2021"
"2","299","2020-2021"
"2","300","2020-2021"
"3","114","2020-2021"
"3","152","2020-2021"
"4","062","2020-2021"
"5","018","2020-2021"
"5","059","2020-2021"
"6","011","2020-2021"
"6","369","2020-2021"
"7","012","2020-2021"
"7","370","2020-2021"
"8","076","2020-2021"
"8","140","2020-2021"
"8","145","2020-2021"
"9","049","2020-2021"
"9","295","2020-2021"
"9","299","2020-2021"
"9","300","2020-2021"
"9","387","2020-2021"
"10","168","2020-2021"
"10","169","2020-2021"
"10","295","2020-2021"
"10","299","2020-2021"
"10","300","2020-2021"
"11","089","2020-2021"
"11","099","2020-2021"
"12","111","2020-2021"
"13","059","2020-2021"
"13","082","2020-2021"
"14","059","2020-2021"
"14","160","2020-2021"
"15","108","2020-2021"
"15","295","2020-2021"
"15","299","2020-2021"
"15","300","2020-2021"
"16","059","2020-2021"
"16","110","2020-2021"
"16","285","2020-2021"
"17","068","2020-2021"
"18","024","2020-2021"
"19","009","2020-2021"
"20","126","2020-2021"
"20","131","2020-2021"
"21","119","2020-2021"
"23","281","2020-2021"
"24","272","2020-2021"
"A","069","2020-2021"
"B","072","2020-2021"
"C","154","2020-2021"
"C","155","2020-2021"
"D","061","2020-2021"
"E","040","2020-2021"
"E","377","2020-2021"
"F","051","2020-2021"
"F","379","2020-2021"
"G","153","2020-2021"
"J","083","2020-2021"
"J","164","2020-2021"
"J","388","2020-2021"
"J","391","2020-2021"
"K","084","2020-2021"
"K","164","2020-2021"
"K","389","2020-2021"
"K","391","2020-2021"
"N","059","2020-2021"
"N","080","2020-2021"
"R","060","2020-2021"
"S","016","2020-2021"
"S","373","2020-2021"
"T","017","2020-2021"
"T","375","2020-2021"
"W","178","2020-2021"
"W","179","2020-2021"
"1","150","2021-2022"
"1","151","2021-2022"
"1","295","2021-2022"
"1","299","2021-2022"
"1","300","2021-2022"
"2","129","2021-2022"
"2","130","2021-2022"
"2","295","2021-2022"
"2","299","2021-2022"
"2","300","2021-2022"
"3","114","2021-2022"
"3","152","2021-2022"
"4","062","2021-2022"
"5","018","2021-2022"
"5","059","2021-2022"
"6","011","2021-2022"
"6","369","2021-2022"
"7","012","2021-2022"
"7","370","2021-2022"
"8","076","2021-2022"
"8","140","2021-2022"
"8","145","2021-2022"
"9","049","2021-2022"
"9","295","2021-2022"
"9","299","2021-2022"
"9","300","2021-2022"
"9","387","2021-2022"
"10","168","2021-2022"
"10","169","2021-2022"
"10","295","2021-2022"
"10","299","2021-2022"
"10","300","2021-2022"
"11","089","2021-2022"
"11","099","2021-2022"
"12","111","2021-2022"
"13","059","2021-2022"
"13","082","2021-2022"
"14","059","2021-2022"
"14","160","2021-2022"
"15","108","2021-2022"
"15","295","2021-2022"
"15","299","2021-2022"
"15","300","2021-2022"
"16","059","2021-2022"
"16","110","2021-2022"
"16","285","2021-2022"
"17","068","2021-2022"
"18","024","2021-2022"
"19","009","2021-2022"
"20","126","2021-2022"
"20","131","2021-2022"
"21","119","2021-2022"
"23","281","2021-2022"
"24","272","2021-2022"
"A","069","2021-2022"
"B","072","2021-2022"
"C","154","2021-2022"
"C","155","2021-2022"
"D","061","2021-2022"
"E","040","2021-2022"
"E","377","2021-2022"
"F","051","2021-2022"
"F","379","2021-2022"
"G","153","2021-2022"
"J","083","2021-2022"
"J","164","2021-2022"
"J","388","2021-2022"
"J","391","2021-2022"
"K","084","2021-2022"
"K","164","2021-2022"
"K","389","2021-2022"
"K","391","2021-2022"
"N","059","2021-2022"
"N","080","2021-2022"
"R","060","2021-2022"
"S","016","2021-2022"
"S","373","2021-2022"
"T","017","2021-2022"
"T","375","2021-2022"
"W","178","2021-2022"
"W","179","2021-2022"
"1","150","2022-2023"
"1","151","2022-2023"
"1","295","2022-2023"
"1","299","2022-2023"
"1","300","2022-2023"
"2","129","2022-2023"
"2","130","2022-2023"
"2","295","2022-2023"
"2","299","2022-2023"
"2","300","2022-2023"
"3","114","2022-2023"
"3","152","2022-2023"
"4","062","2022-2023"
"5","018","2022-2023"
"5","059","2022-2023"
"6","011","2022-2023"
"6","369","2022-2023"
"7","012","2022-2023"
"7","370","2022-2023"
"8","076","2022-2023"
"8","140","2022-2023"
"8","145","2022-2023"
"9","049","2022-2023"
"9","295","2022-2023"
"9","299","2022-2023"
"9","300","2022-2023"
"9","387","2022-2023"
"10","168","2022-2023"
"10","169","2022-2023"
"10","295","2022-2023"
"10","299","2022-2023"
"10","300","2022-2023"
"11","089","2022-2023"
"11","099","2022-2023"
"12","111","2022-2023"
"13","059","2022-2023"
"13","082","2022-2023"
"14","059","2022-2023"
"14","160","2022-2023"
"15","108","2022-2023"
"15","295","2022-2023"
"15","299","2022-2023"
"15","300","2022-2023"
"16","059","2022-2023"
"16","110","2022-2023"
"16","285","2022-2023"
"17","068","2022-2023"
"18","024","2022-2023"
"19","009","2022-2023"
"20","126","2022-2023"
"20","131","2022-2023"
"21","119","2022-2023"
"23","281","2022-2023"
"24","272","2022-2023"
"A","069","2022-2023"
"B","072","2022-2023"
"C","154","2022-2023"
"C","155","2022-2023"
"D","061","2022-2023"
"E","040","2022-2023"
"E","377","2022-2023"
"F","051","2022-2023"
"F","379","2022-2023"
"G","153","2022-2023"
"J","083","2022-2023"
"J","164","2022-2023"
"J","388","2022-2023"
"J","391","2022-2023"
"K","084","2022-2023"
"K","164","2022-2023"
"K","389","2022-2023"
"K","391","2022-2023"
"N","059","2022-2023"
"N","080","2022-2023"
"R","060","2022-2023"
"S","016","2022-2023"
"S","373","2022-2023"
"T","017","2022-2023"
"T","375","2022-2023"
"W","178","2022-2023"
"W","179","2022-2023"
"1","150","2023-2024"
"1","151","2023-2024"
"1","295","2023-2024"
"1","299","2023-2024"
"1","300","2023-2024"
"2","129","2023-2024"
"2","130","2023-2024"
"2","295","2023-2024"
"2","299","2023-2024"
"2","300","2023-2024"
"3","114","2023-2024"
"3","152","2023-2024"
"4","062","2023-2024"
"5","018","2023-2024"
"5","059","2023-2024"
"6","011","2023-2024"
"6","369","2023-2024"
"7","012","2023-2024"
"7","370","2023-2024"
"8","076","2023-2024"
"8","140","2023-2024"
"8","145","2023-2024"
"9","049","2023-2024"
"9","295","2023-2024"
"9","299","2023-2024"
"9","300","2023-2024"
"9","387","2023-2024"
"10","168","2023-2024"
"10","169","2023-2024"
"10","295","2023-2024"
"10","299","2023-2024"
"10","300","2023-2024"
"11","089","2023-2024"
"11","099","2023-2024"
"12","111","2023-2024"
"13","059","2023-2024"
"13","082","2023-2024"
"14","059","2023-2024"
"14","160","2023-2024"
"15","108","2023-2024"
"15","295","2023-2024"
"15","299","2023-2024"
"15","300","2023-2024"
"16","059","2023-2024"
"16","110","2023-2024"
"16","285","2023-2024"
"17","068","2023-2024"
"18","024","2023-2024"
"19","009","2023-2024"
"20","126","2023-2024"
"20","131","2023-2024"
"21","119","2023-2024"
"23","281","2023-2024"
"24","272","2023-2024"
"A","069","2023-2024"
"B","072","2023-2024"
"C","154","2023-2024"
"C","155","2023-2024"
"D","061","2023-2024"
"E","040","2023-2024"
"E","377","2023-2024"
"F","051","2023-2024"
"F","379","2023-2024"
"G","153","2023-2024"
"J","083","2023-2024"
"J","164","2023-2024"
"J","388","2023-2024"
"J","391","2023-2024"
"K","084","2023-2024"
"K","164","2023-2024"
"K","389","2023-2024"
"K","391","2023-2024"
"N","059","2023-2024"
"N","080","2023-2024"
"R","060","2023-2024"
"S","016","2023-2024"
"S","373","2023-2024"
"T","017","2023-2024"
"T","375","2023-2024"
"W","178","2023-2024"
"W","179","2023-2024"
"1","003","2024-2025"
"2","006","2024-2025"
"3","007","2024-2025"
"4","008","2024-2025"
"5","009","2024-2025"
"6","014","2024-2025"
"7","017","2024-2025"
"8","033","2024-2025"
"9","022","2024-2025"
"9","023","2024-2025"
"9","024","2024-2025"
"9","025","2024-2025"
"9","026","2024-2025"
"9","027","2024-2025"
"9","028","2024-2025"
"9","029","2024-2025"
"9","030","2024-2025"
"9","031","2024-2025"
"9","035","2024-2025"
"9","036","2024-2025"
"9","037","2024-2025"
"9","038","2024-2025"
"9","039","2024-2025"
"9","041","2024-2025"
"9","042","2024-2025"
"9","043","2024-2025"
"9","106","2024-2025"
"9","107","2024-2025"
"9","108","2024-2025"
"9","109","2024-2025"
"9","110","2024-2025"
"9","112","2024-2025"
"9","114","2024-2025"
"10","044","2024-2025"
"11","045","2024-2025"
"12","046","2024-2025"
"13","047","2024-2025"
"14","049","2024-2025"
"15","050","2024-2025"
"16","052","2024-2025"
"17","103","2024-2025"
"18","104","2024-2025"
"19","115","2024-2025"
"20","116","2024-2025"
"21","117","2024-2025"
"22","118","2024-2025"
"23","119","2024-2025"
"23","120","2024-2025"
"23","121","2024-2025"
"23","124","2024-2025"
"23","125","2024-2025"
"23","126","2024-2025"
"23","128","2024-2025"
"23","129","2024-2025"
"23","130","2024-2025"
"24","122","2024-2025"
"25","131","2024-2025"
"26","132","2024-2025"
"27","133","2024-2025"
"28","054","2024-2025"
"29","055","2024-2025"
"30","056","2024-2025"
"31","057","2024-2025"
"32","295","2024-2025"
"33","296","2024-2025"
"34","060","2024-2025"
"34","061","2024-2025"
"34","062","2024-2025"
"34","063","2024-2025"
"34","064","2024-2025"
"34","065","2024-2025"
"34","069","2024-2025"
"34","071","2024-2025"
"34","072","2024-2025"
"34","073","2024-2025"
"34","074","2024-2025"
"34","075","2024-2025"
"34","077","2024-2025"
"34","078","2024-2025"
"34","079","2024-2025"
"34","083","2024-2025"
"34","301","2024-2025"
"35","066","2024-2025"
"36","080","2024-2025"
"37","081","2024-2025"
"38","082","2024-2025"
"39","084","2024-2025"
"40","085","2024-2025"
"41","086","2024-2025"
"42","087","2024-2025"
"43","088","2024-2025"
"43","089","2024-2025"
"43","090","2024-2025"
"43","093","2024-2025"
"43","094","2024-2025"
"43","095","2024-2025"
"43","097","2024-2025"
"43","098","2024-2025"
"43","099","2024-2025"
"44","091","2024-2025"
"45","100","2024-2025"
"46","101","2024-2025"
"47","102","2024-2025"
"48","305","2024-2025"
"49","306","2024-2025"
"50","307","2024-2025"
"51","308","2024-2025"
"52","309","2024-2025"
"53","310","2024-2025"
"54","311","2024-2025"
"55","312","2024-2025"
"56","313","2024-2025"
"57","314","2024-2025"
"58","315","2024-2025"
"59","316","2024-2025"
"60","317","2024-2025"
"61","318","2024-2025"
"62","319","2024-2025"
"63","320","2024-2025"
"64","321","2024-2025"
"65","322","2024-2025"
"66","323","2024-2025"
"67","324","2024-2025"
"A","034","2024-2025"
"B","105","2024-2025"
"C","123","2024-2025"
"D","059","2024-2025"
"E","067","2024-2025"
"F","092","2024-2025"
