"Document_Code","Aid_Year","Attribute_Code","Attribute_Name","Display_Order","Data_Type","Enum_Mapping","Additional_Resolution_Action","Is_Required","Subtype","Field_Start_Date","Field_End_Date","Prev_Document_Code","Prev_Attribute_Code"
"HSTranscript","","AC1001","First Name","1","STRING","","return true;","true","","","","",""
"HSTranscript","","AC1002","Last Name","2","STRING","","return true;","true","","","","",""
"HSTranscript","","AC1068","School Name","3","STRING","","return true;","true","","","","",""
"HSTranscript","","AC1069","City","4","STRING","","return true;","true","","","","",""
"HSTranscript","","AC1067","State","5","ENUMERATION","AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,FM,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MH,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,FC","return true;","true","","","","",""
"HSTranscript","","AC1006","Graduation Date","6","DATE","","docmetadata/AcceptanceCriteria/GEDCert/lifetime/AC1006.groovy","true","","","","",""
"IASG-CHF-SelfDeclaration","","AC1124","The child of a parent or guardian who died in the line of duty while (a) serving on active duty as a member of the Armed Forces on or after September 11, 2001; or (b) actively serving as and performing the duties of a public safety officer","1","STRING","Yes,No","return true;","true","","","","",""
"IASG-CHF-SelfDeclaration","","AC1125","Less than 33 years old as of the January 1 prior to the award year for which the applicant is applying (e.g., for the 2024-25 award year, a student must be less than 33 years old as of January 1, 2024, to be eligible)","2","STRING","Yes,No","return true;","true","","","","",""
"LegalNameChange","","AC1095","Previous Last Name","1","STRING","","return true;","true","","","","",""
"LegalNameChange","","AC1096","Current Last Name","2","STRING","","return true;","true","","","","",""
"MarriageCertificate","","AC1095","Previous Last Name","1","STRING","","return true;","true","","","","",""
"MarriageCertificate","","AC1096","Current Last Name","2","STRING","","return true;","true","","","","",""
"NonDriversLicenseID","","AC1001","First Name","1","STRING","","return true;","true","","","","",""
"NonDriversLicenseID","","AC1002","Last Name","2","STRING","","return true;","true","","","","",""
"NonDriversLicenseID","","AC1003","Date of Birth","3","DATE","","return true;","true","","","","",""
"NonDriversLicenseID","","AC1004","Gender","4","ENUMERATION","Male,Female,X","return true;","true","","","","",""
"NonDriversLicenseID","","AC1005","Expiration Date","5","DATE","","docmetadata/AcceptanceCriteria/DriversLicense/lifetime/AC1005.groovy","true","","","","",""
"NonDriversLicenseID","","AC1066","Issuing Agency","6","ENUMERATION","Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,U.S. government,District of Columbia,The Commonwealth of Puerto Rico,American Samoa,Guam,The Virgin Islands,The Commonwealth of the Northern Mariana Islands,The Republic of the Marshall Islands,The Federated States of Micronesia,The Republic of Palau,Federally Recognized American Indianor Alaska Native Tribe,Other","docmetadata/AcceptanceCriteria/DriversLicense/lifetime/AC1066.groovy","true","","","","",""
"NonDriversLicenseID","","AC1070","ID number","7","STRING","","return true;","true","","","","",""
"Passport","","AC1001","First Name","1","STRING","","return true;","true","","","","",""
"Passport","","AC1002","Last Name","2","STRING","","return true;","true","","","","",""
"Passport","","AC1003","Date of Birth","3","DATE","","return true;","true","","","","",""
"Passport","","AC1004","Gender","4","ENUMERATION","Male,Female,X","return true;","true","","","","",""
"Passport","","AC1005","Expiration Date","5","DATE","","docmetadata/AcceptanceCriteria/DriversLicense/lifetime/AC1005.groovy","true","","","","",""
"Passport","","AC1066","Issuing Agency","6","ENUMERATION","Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,U.S. government,District of Columbia,The Commonwealth of Puerto Rico,American Samoa,Guam,The Virgin Islands,The Commonwealth of the Northern Mariana Islands,The Republic of the Marshall Islands,The Federated States of Micronesia,The Republic of Palau,Federally Recognized American Indianor Alaska Native Tribe,Other","docmetadata/AcceptanceCriteria/DriversLicense/lifetime/AC1066.groovy","true","","","","",""
"Passport","","AC1070","ID number","7","STRING","","return true;","true","","","","",""
"SecondarySchoolLeavingCert","","AC1001","First Name","1","STRING","","return true;","true","","","","",""
"SecondarySchoolLeavingCert","","AC1002","Last Name","2","STRING","","return true;","true","","","","",""
"SecondarySchoolLeavingCert","","AC1069","City","3","STRING","","return true;","true","","","","",""
"SecondarySchoolLeavingCert","","AC1067","State","4","ENUMERATION","AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,FM,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MH,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,FC","return true;","true","","","","",""
"SecondarySchoolLeavingCert","","AC1006","Graduation Date","5","DATE","","docmetadata/AcceptanceCriteria/GEDCert/lifetime/AC1006.groovy","true","","","","",""
"StateHSEquivalencyCert","","AC1001","First Name","1","STRING","","return true;","true","","","","",""
"StateHSEquivalencyCert","","AC1002","Last Name","2","STRING","","return true;","true","","","","",""
"StateHSEquivalencyCert","","AC1069","City","3","STRING","","return true;","true","","","","",""
"StateHSEquivalencyCert","","AC1067","State","4","ENUMERATION","AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,FM,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MH,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,FC","return true;","true","","","","",""
"StateHSEquivalencyCert","","AC1006","Graduation Date","5","DATE","","docmetadata/AcceptanceCriteria/GEDCert/lifetime/AC1006.groovy","true","","","","",""
"StateIssuedID","","AC1001","First Name","1","STRING","","return true;","true","","","","",""
"StateIssuedID","","AC1002","Last Name","2","STRING","","return true;","true","","","","",""
"StateIssuedID","","AC1003","Date of Birth","3","DATE","","return true;","true","","","","",""
"StateIssuedID","","AC1004","Gender","4","ENUMERATION","Male,Female,X","return true;","true","","","","",""
"StateIssuedID","","AC1005","Expiration Date","5","DATE","","docmetadata/AcceptanceCriteria/DriversLicense/lifetime/AC1005.groovy","true","","","","",""
"StateIssuedID","","AC1066","Issuing Agency","6","ENUMERATION","Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,U.S. government,District of Columbia,The Commonwealth of Puerto Rico,American Samoa,Guam,The Virgin Islands,The Commonwealth of the Northern Mariana Islands,The Republic of the Marshall Islands,The Federated States of Micronesia,The Republic of Palau,Federally Recognized American Indianor Alaska Native Tribe,Other","docmetadata/AcceptanceCriteria/DriversLicense/lifetime/AC1066.groovy","true","","","","",""
"StateIssuedID","","AC1070","ID number","7","STRING","","return true;","true","","","","",""
"1040x","2017-2018","AC1015","Adjusted Gross Income","1","DOUBLE","","return true;","true","","","","",""
"1040x","2017-2018","AC1016","Taxes Paid","2","DOUBLE","","return true;","true","","","","",""
"1040x","2017-2018","AC1017","Untaxed IRA Distribution and Pension Total","3","DOUBLE","","return true;","true","","","","",""
"1040x","2017-2018","AC1018","Untaxed Pensions","4","DOUBLE","","return true;","true","","","","",""
"1040x","2017-2018","AC1019","IRA Deduction","5","DOUBLE","","return true;","true","","","","",""
"1040x","2017-2018","AC1020","Tax-Exempt Interest","6","DOUBLE","","return true;","true","","","","",""
"1040x","2017-2018","AC1021","Education Credits","7","DOUBLE","","return true;","true","","","","",""
"1040x","2017-2018","AC1065","Filing Status","8","ENUMERATION","Head of Household,Married Filing Jointly,Married Filing Separately,Qualifying Widower w/ Dependent,Single","docmetadata/AcceptanceCriteria/1040x/2018/AC1065.groovy","true","","","","",""
"1099G","2017-2018","AC1008","Social Security Number","1","STRING","","return true;","true","","","","",""
"1099G","2017-2018","AC1064","Payer's Federal Identification Number","2","STRING","","return true;","true","Y","","","",""
"1099G","2017-2018","AC1013","Box 1 Amount","3","DOUBLE","","docmetadata/AcceptanceCriteria/1099G/2018/AC1013.groovy","true","","","","",""
"1099G","2017-2018","AC1014","Box 4 Amount","4","DOUBLE","","return true;","true","","","","",""
"1099G","2017-2018","AC1012","Tax Calendar Year","5","ENUMERATION","2014,2015,2016,2017,2018,2019,2020,2021,2022","return true;","true","","","","",""
"ForeignTaxTranscript","2017-2018","AC1015","Adjusted Gross Income (Line 7 - 1040)","1","DOUBLE","","return true;","true","","","","",""
"ForeignTaxTranscript","2017-2018","AC1016","Taxes Paid (Line 13 minus Line 46 of Schedule 2 - Form 1040)","2","DOUBLE","","return true;","true","","","","",""
"ForeignTaxTranscript","2017-2018","AC1017","Untaxed IRA Distribution and Pension total (Lines 4a minus 4b - 1040)","3","DOUBLE","","return true;","true","","","","",""
"ForeignTaxTranscript","2017-2018","AC1018","Untaxed Pensions Total","4","DOUBLE","","return true;","true","","","","",""
"ForeignTaxTranscript","2017-2018","AC1019","IRA Deduction (Lines 28 + 32 of Schedule 1 - 1040)","5","DOUBLE","","return true;","true","","","","",""
"ForeignTaxTranscript","2017-2018","AC1020","Tax-Exempt Interest (Line 2a - 1040)","6","DOUBLE","","return true;","true","","","","",""
"ForeignTaxTranscript","2017-2018","AC1021","Education Credits (Line 50 of Schedule 3 - 1040)","7","DOUBLE","","return true;","true","","","","",""
"ForeignTaxTranscript","2017-2018","AC1065","Filing Status","8","ENUMERATION","Head of Household,Married Filing Jointly,Married Filing Separately,Qualifying Widower w/ Dependent,Single","docmetadata/AcceptanceCriteria/1040x/2018/AC1065.groovy","true","","","","",""
"IRSForm4868","2017-2018","AC1007","Signature Date","1","DATE","","return true;","true","","","","",""
"IRSForm4868","2017-2018","AC1012","Tax Calendar Year","2","ENUMERATION","2014,2015,2016,2017,2018,2019,2020,2021,2022","return true;","true","","","","",""
"NonFilingStatement","2017-2018","AC1007","Signature Date","1","DATE","","return true;","true","","","","",""
"RolloverStatement","2017-2018","AC1076","Rollover Amount","1","DOUBLE","","return true;","true","","","","",""
"RolloverStatement","2017-2018","AC1007","Signature Date","2","DATE","","return true;","true","","","","",""
"SelfEmploymentStatement","2017-2018","AC1015","Adjusted Gross Income (Line 7 - 1040)","1","DOUBLE","","docmetadata/AcceptanceCriteria/SelfEmploymentStatement/2018/AC1015.groovy","true","","","","",""
"SelfEmploymentStatement","2017-2018","AC1016","Taxes Paid (Line 13 minus Line 46 of Schedule 2 - Form 1040)","2","DOUBLE","","return true;","true","","","","",""
"SelfEmploymentStatement","2017-2018","AC1007","Signature Date","3","DATE","","return true;","true","","","","",""
"SOEP-Campus","2017-2018","AC1001","First Name","1","STRING","","return true;","true","","","","",""
"SOEP-Campus","2017-2018","AC1002","Last Name","2","STRING","","return true;","true","","","","",""
"SOEP-Campus","2017-2018","AC1068","School Name","3","STRING","","return true;","true","","","","",""
"SOEP-Campus","2017-2018","AC1071","School Representative First Name","4","STRING","","return true;","true","","","","",""
"SOEP-Campus","2017-2018","AC1072","School Representative Last Name","5","STRING","","return true;","true","","","","",""
"SOEP-Campus","2017-2018","AC1007","Signature Date","6","DATE","","return true;","true","","","","",""
"SOEP-Notary","2017-2018","AC1001","First Name","1","STRING","","return true;","true","","","","",""
"SOEP-Notary","2017-2018","AC1002","Last Name","2","STRING","","return true;","true","","","","",""
"SOEP-Notary","2017-2018","AC1068","School Name","3","STRING","","return true;","true","","","","",""
"SOEP-Notary","2017-2018","AC1073","Contains Notary Seal?","4","STRING","Yes,No","return true;","true","","","","",""
"SOEP-Notary","2017-2018","AC1074","Notary First Name","5","STRING","","return true;","true","","","","",""
"SOEP-Notary","2017-2018","AC1075","Notary Last Name","6","STRING","","return true;","true","","","","",""
"SOEP-Notary","2017-2018","AC1007","Signature Date","7","DATE","","return true;","true","","","","",""
"TaxReturnTranscript","2017-2018","AC1015","Adjusted Gross Income (Line 7 - 1040)","1","DOUBLE","","return true;","true","","","","",""
"TaxReturnTranscript","2017-2018","AC1016","Taxes Paid (Line 13 minus Line 46 of Schedule 2 - Form 1040)","2","DOUBLE","","return true;","true","","","","",""
"TaxReturnTranscript","2017-2018","AC1017","Untaxed IRA Distribution and Pension total (Lines 4a minus 4b - 1040)","3","DOUBLE","","return true;","true","","","","",""
"TaxReturnTranscript","2017-2018","AC1018","Untaxed Pensions Total","4","DOUBLE","","return true;","true","","","","",""
"TaxReturnTranscript","2017-2018","AC1019","IRA Deduction (Lines 28 + 32 of Schedule 1 - 1040)","5","DOUBLE","","return true;","true","","","","",""
"TaxReturnTranscript","2017-2018","AC1020","Tax-Exempt Interest (Line 2a - 1040)","6","DOUBLE","","return true;","true","","","","",""
"TaxReturnTranscript","2017-2018","AC1021","Education Credits (Line 50 of Schedule 3 - 1040)","7","DOUBLE","","return true;","true","","","","",""
"TaxReturnTranscript","2017-2018","AC1065","Filing Status","8","ENUMERATION","Head of Household,Married Filing Jointly,Married Filing Separately,Qualifying Widower w/ Dependent,Single","docmetadata/AcceptanceCriteria/1040x/2018/AC1065.groovy","true","","","","",""
"VW-Ind","2017-2018","AC1093","Student's Marital Status","1","ENUMERATION","Single,Married/Remarried,Separated,Divorced or Widowed","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1022","Student's Number of Family Members","2","INTEGER","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1023","Student's Number in College","3","INTEGER","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1024","Household Member Name - 1","4","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1034","Household Member Age - 1","5","INTEGER","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1044","Household Member Relationship(s) to student - 1","6","ENUMERATION","Aunt,Cousin,Daughter,Fiance,God Child,Grandchild,Grandparent,In-law Parent,In-law Sibling,Nephew,Niece,Parent,Self,Sibling,Significant Other,Son,Spouse,Step-Child,Step-Parent,Step-Sibling,Unborn Child,Uncle","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1054","College/University Name - 1","7","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1025","Household Member Name - 2","8","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1035","Household Member Age - 2","9","INTEGER","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1045","Household Member Relationship(s) to student - 2","10","ENUMERATION","Aunt,Cousin,Daughter,Fiance,God Child,Grandchild,Grandparent,In-law Parent,In-law Sibling,Nephew,Niece,Parent,Self,Sibling,Significant Other,Son,Spouse,Step-Child,Step-Parent,Step-Sibling,Unborn Child,Uncle","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1055","College/University Name - 2","11","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1026","Household Member Name - 3","12","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1036","Household Member Age - 3","13","INTEGER","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1046","Household Member Relationship(s) to student - 3","14","ENUMERATION","Aunt,Cousin,Daughter,Fiance,God Child,Grandchild,Grandparent,In-law Parent,In-law Sibling,Nephew,Niece,Parent,Self,Sibling,Significant Other,Son,Spouse,Step-Child,Step-Parent,Step-Sibling,Unborn Child,Uncle","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1056","College/University Name - 3","15","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1027","Household Member Name - 4","16","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1037","Household Member Age - 4","17","INTEGER","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1047","Household Member Relationship(s) to student - 4","18","ENUMERATION","Aunt,Cousin,Daughter,Fiance,God Child,Grandchild,Grandparent,In-law Parent,In-law Sibling,Nephew,Niece,Parent,Self,Sibling,Significant Other,Son,Spouse,Step-Child,Step-Parent,Step-Sibling,Unborn Child,Uncle","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1057","College/University Name - 4","19","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1028","Household Member Name - 5","20","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1038","Household Member Age - 5","21","INTEGER","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1048","Household Member Relationship(s) to student - 5","22","ENUMERATION","Aunt,Cousin,Daughter,Fiance,God Child,Grandchild,Grandparent,In-law Parent,In-law Sibling,Nephew,Niece,Parent,Self,Sibling,Significant Other,Son,Spouse,Step-Child,Step-Parent,Step-Sibling,Unborn Child,Uncle","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1058","College/University Name - 5","23","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1029","Household Member Name - 6","24","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1039","Household Member Age - 6","25","INTEGER","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1049","Household Member Relationship(s) to student - 6","26","ENUMERATION","Aunt,Cousin,Daughter,Fiance,God Child,Grandchild,Grandparent,In-law Parent,In-law Sibling,Nephew,Niece,Parent,Self,Sibling,Significant Other,Son,Spouse,Step-Child,Step-Parent,Step-Sibling,Unborn Child,Uncle","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1059","College/University Name - 6","27","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1030","Household Member Name - 7","28","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1040","Household Member Age - 7","29","INTEGER","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1050","Household Member Relationship(s) to student - 7","30","ENUMERATION","Aunt,Cousin,Daughter,Fiance,God Child,Grandchild,Grandparent,In-law Parent,In-law Sibling,Nephew,Niece,Parent,Self,Sibling,Significant Other,Son,Spouse,Step-Child,Step-Parent,Step-Sibling,Unborn Child,Uncle","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1060","College/University Name - 7","31","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1031","Household Member Name - 8","32","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1041","Household Member Age - 8","33","INTEGER","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1051","Household Member Relationship(s) to student - 8","34","ENUMERATION","Aunt,Cousin,Daughter,Fiance,God Child,Grandchild,Grandparent,In-law Parent,In-law Sibling,Nephew,Niece,Parent,Self,Sibling,Significant Other,Son,Spouse,Step-Child,Step-Parent,Step-Sibling,Unborn Child,Uncle","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1061","College/University Name - 8","35","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1032","Household Member Name - 9","36","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1042","Household Member Age - 9","37","INTEGER","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1052","Household Member Relationship(s) to student - 9","38","ENUMERATION","Aunt,Cousin,Daughter,Fiance,God Child,Grandchild,Grandparent,In-law Parent,In-law Sibling,Nephew,Niece,Parent,Self,Sibling,Significant Other,Son,Spouse,Step-Child,Step-Parent,Step-Sibling,Unborn Child,Uncle","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1062","College/University Name - 9","39","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1033","Household Member Name - 10","40","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1043","Household Member Age - 10","41","INTEGER","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1053","Household Member Relationship(s) to student - 10","42","ENUMERATION","Aunt,Cousin,Daughter,Fiance,God Child,Grandchild,Grandparent,In-law Parent,In-law Sibling,Nephew,Niece,Parent,Self,Sibling,Significant Other,Son,Spouse,Step-Child,Step-Parent,Step-Sibling,Unborn Child,Uncle","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1063","College/University Name - 10","43","STRING","","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1077","Response to whether student successfully used IRS DRT tool to transfer tax information from the tax filer section","44","ENUMERATION","Yes,Blank","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1078","Response to whether student plans to use the IRS DRT tool to transfer tax information from the tax filer section","45","ENUMERATION","Yes,Blank","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1079","Response to whether the IRS DRT tool was not available to transfer tax information from the tax filer section","46","ENUMERATION","Yes,Blank","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1080","Response to whether the student had an ""other"" tax scenario (i.e. amended tax return, granted a filing extension, victim of identity theft or filed a non-IRS tax return) from the tax filer section","47","ENUMERATION","Yes,Blank","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1081","Response if the student is not required and will not file a tax return for this aid year from the tax filer section","48","ENUMERATION","Yes,Blank","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1082","Response if the student was not employed and had no income in the aid year from the non tax filer section","49","ENUMERATION","Yes,Blank","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1083","Response if the student was employed and had income in the aid year from the non tax filer section","50","ENUMERATION","Yes,Blank","return true;","false","","","","",""
"VW-Ind","2017-2018","AC1007","Signature Date","51","DATE","","return true;","true","","","","",""
"VW-Ind","2017-2018","AC1094","Signature Last Name","52","STRING","","docmetadata/AcceptanceCriteria/VW-Ind/2018/AC1094.groovy","true","","","","",""
"W2","2017-2018","AC1008","Social Security Number","1","STRING","","return true;","true","","","","",""
"W2","2017-2018","AC1009","EIN","2","STRING","","return true;","true","Y","","","",""
"W2","2017-2018","AC1010","Box 1 Amount","3","DOUBLE","","docmetadata/AcceptanceCriteria/W2/2018/AC1010.groovy","true","","","","",""
